// Elemental Summons Database
//
// Structure of Database:
// ID,Sprite_Name,Name,LV,HP,SP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Speed,aDelay,aMotion,dMotion

// Monster Elementals
2114,EL_AGNI_S,Agni,100,5000,1,1,100,100,10,10,1,1,1,1,1,1,5,12,0,0,83,200,504,1020,360
2115,EL_AGNI_M,Agni,100,7500,1,1,250,250,25,25,1,1,1,1,1,1,5,12,1,0,83,200,504,1020,360
2116,EL_AGNI_L,Agni,100,10000,1,1,500,500,50,50,1,1,1,1,1,1,5,12,2,0,83,200,504,1020,360
2117,EL_AQUA_S,Aqua,100,5000,1,1,100,100,10,10,1,1,1,1,1,1,5,12,0,0,81,200,504,1020,360
2118,EL_AQUA_M,Aqua,100,7500,1,1,250,250,25,25,1,1,1,1,1,1,5,12,1,0,81,200,504,1020,360
2119,EL_AQUA_L,Aqua,100,10000,1,1,500,500,50,50,1,1,1,1,1,1,5,12,2,0,81,200,504,1020,360
2120,EL_VENTUS_S,Ventus,100,5000,1,4,100,100,10,10,1,1,1,1,1,1,5,12,0,0,84,200,504,1020,360
2121,EL_VENTUS_M,Ventus,100,7500,1,4,250,250,25,25,1,1,1,1,1,1,5,12,1,0,84,200,504,1020,360
2122,EL_VENTUS_L,Ventus,100,10000,1,4,500,500,50,50,1,1,1,1,1,1,5,12,2,0,84,200,504,1020,360
2123,EL_TERA_S,Tera,100,5000,1,1,100,100,10,10,1,1,1,1,1,1,5,12,0,0,82,200,504,1020,360
2124,EL_TERA_M,Tera,100,7500,1,1,250,250,25,25,1,1,1,1,1,1,5,12,1,0,82,200,504,1020,360
2125,EL_TERA_L,Tera,100,10000,1,1,500,500,50,50,1,1,1,1,1,1,5,12,2,0,82,200,504,1020,360

//2114,EL_AGNI_S,Agni		,100,5000,500	,1,250,250	,10,10,	25,25,25,25,25,25,		10,12,0,0,83,200,504,1020,360
//2115,EL_AGNI_M,Agni		,100,7500,750	,1,500,500	,25,25,	50,50,50,50,50,50,		10,12,1,0,83,200,504,1020,360
//2116,EL_AGNI_L,Agni		,100,10000,1000	,1,1000,1000	,50,50,	100,100,100,100,100,100,	10,12,2,0,83,200,504,1020,360
//2117,EL_AQUA_S,Aqua		,100,5000,500	,1,250,250	,10,10,	25,25,25,25,25,25,		10,12,0,0,81,200,504,1020,360
//2118,EL_AQUA_M,Aqua		,100,7500,750	,1,500,500	,25,25,	50,50,50,50,50,50,		10,12,1,0,81,200,504,1020,360
//2119,EL_AQUA_L,Aqua		,100,10000,1000	,1,1000,1000	,50,50,	100,100,100,100,100,100,	10,12,2,0,81,200,504,1020,360
//2120,EL_VENTUS_S,Ventus	,100,5000,500	,4,250,250	,10,10,	25,25,25,25,25,25,		10,12,0,0,84,200,504,1020,360
//2121,EL_VENTUS_M,Ventus	,100,7500,750	,4,500,500	,25,25,	50,50,50,50,50,50,		10,12,1,0,84,200,504,1020,360
//2122,EL_VENTUS_L,Ventus	,100,10000,1000	,4,1000,1000	,50,50,	100,100,100,100,100,100,	10,12,2,0,84,200,504,1020,360
//2123,EL_TERA_S,Tera		,100,5000,500	,1,250,250	,10,10,	25,25,25,25,25,25,		10,12,0,0,82,200,504,1020,360
//2124,EL_TERA_M,Tera		,100,7500,750	,1,500,500	,25,25,	50,50,50,50,50,50,		10,12,1,0,82,200,504,1020,360
//2125,EL_TERA_L,Tera		,100,10000,1000	,1,1000,1000	,50,50,	100,100,100,100,100,100,	10,12,2,0,82,200,504,1020,360
